title,address,price,duzenle,m2,rooms,furnished
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Pendrechtstraat,3082 XA Rotterdam (Oud Charlois),€895 per month,40 m²/2 rooms/Shell,40 m²,2 rooms,Shell
Apartment Boompjes,3011 XZ Rotterdam (Stadsdriehoek),"€1,625 per month",59 m²/2 rooms/Furnished,59 m²,2 rooms,Furnished
Apartment Hermonlaan 64,3061 BH Rotterdam (Kralingen West),"€2,000 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
Apartment Hermonlaan 35,3061 BH Rotterdam (Kralingen West),"€1,495 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment 's-Gravendijkwal,3014 EC Rotterdam (Oude Westen),€800 per month,34 m²/1 room/Upholstered,34 m²,1 room,Upholstered
Apartment Parallelstraat,3043 GK Rotterdam (Overschie),"€1,400 per month",75 m²/3 rooms/1929,75 m²,3 rooms,1929
Apartment Plein 1953,3086 EM Rotterdam (Pendrecht),"€1,345 per month",88 m²/2 rooms/Upholstered,88 m²,2 rooms,Upholstered
Apartment Crooswijksesingel,3034 CH Rotterdam (Rubroek),"€1,548 per month",76 m²/2 rooms/Furnished,76 m²,2 rooms,Furnished
Apartment 's-Gravendijkwal 39 b,3021 EC Rotterdam (Middelland),"€2,250 per month",77 m²/3 rooms/Furnished,77 m²,3 rooms,Furnished
Apartment Van Oldenbarneveltstraat 152 C02,3012 GX Rotterdam (Cool),"€1,200 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Bentincklaan 49 C,3039 KH Rotterdam (Blijdorp),"€1,750 per month",110 m²/4 rooms/Furnished,110 m²,4 rooms,Furnished
